id,area,nombre,definicion,como_se_calcula,unidad,donde_se_calcula,modelos,reportes_gold,dashboards,advertencia
kpi:Ingresos mensuales,scorecard,Ingresos mensuales,"Todo lo que la empresa vendió en el mes, sumando pedidos de todos los canales y las ventas de las sucursales.","Suma del importe neto de pedidos (todos los canales) + ventas de sucursal sin los duplicados descartados, por mes completo.",MXN,warehouse,dim_kpi|fct_pedido|fct_venta_sucursal,rpt_kpi_historico|rpt_scorecard,03,Es la cifra más amplia de «ventas»: mayor que Ventas por equipo (solo canal con vendedor) y que el Ingreso del reporte ejecutivo (sin sucursales). No incluye facturación del ERP.
kpi:NPS,scorecard,NPS,"Qué tanto recomiendan a la empresa sus clientes: el porcentaje de promotores menos el de detractores, de −100 a 100.",(% Promotores − % Detractores) × 100 sobre las respuestas de la encuesta del mes.,puntos,warehouse,dim_kpi|fct_encuesta_nps,rpt_kpi_historico|rpt_scorecard|rpt_encuestas_nps,03 12,
kpi:Nuevos clientes,scorecard,Nuevos clientes,Cuántos clientes se dieron de alta en el mes.,Conteo de clientes únicos (ya deduplicados) por el mes de su fecha de alta. Los clientes sin fecha de alta no se cuentan.,clientes,warehouse,dim_kpi|dim_cliente,rpt_kpi_historico|rpt_scorecard,03,
kpi:Rotación de personal,scorecard,Rotación de personal,El porcentaje de la plantilla que dejó la empresa en el mes. Aquí menos es mejor.,"Lo captura Recursos Humanos a mano cada mes. El warehouse recibe el resultado, no lo calcula.",%,manual,dim_kpi|fct_kpi_manual,rpt_kpi_historico|rpt_scorecard,03,"Fórmula de origen no documentada (bajas voluntarias vs. totales, plantilla promedio). Pendiente de confirmar con el responsable."
kpi:SLA de soporte,scorecard,SLA de soporte,El porcentaje de solicitudes de soporte que se atienden dentro del tiempo comprometido con el cliente.,"Lo captura Operaciones a mano cada mes. Aunque el warehouse tiene los tickets de soporte, este KPI no se deriva de ellos.",%,manual,dim_kpi|fct_kpi_manual,rpt_kpi_historico|rpt_scorecard,03,Definición estándar de SLA; el tiempo comprometido y qué tickets cuentan no están documentados. Pendiente de confirmar con el responsable.
kpi:Satisfacción del equipo (eNPS),scorecard,Satisfacción del equipo (eNPS),"Qué tanto recomendarían los empleados a la empresa como lugar de trabajo, en la misma escala que el NPS.","Lo captura Recursos Humanos a mano cada mes. El warehouse recibe el resultado, no lo calcula.",puntos,manual,dim_kpi|fct_kpi_manual,rpt_kpi_historico|rpt_scorecard,03,Fórmula de origen no documentada en el warehouse: confirmar con el responsable antes de compararla con el NPS de clientes.
importe_neto,ventas,Importe neto de venta,Lo que se vendió en una línea de pedido después de aplicar el descuento. Es la unidad básica con la que se arma casi cualquier cifra de ventas del warehouse.,"cantidad × precio unitario × (1 − descuento), por línea de pedido; luego se suma por día, cliente, producto o lo que pida el reporte.",MXN,warehouse,int_pedidos_enriquecidos|fct_pedido,rpt_transacciones,05,"El warehouse no modela impuestos, devoluciones ni notas de crédito: es venta bruta de esos conceptos. Cubre todos los canales de pedido, sin importar si hay vendedor."
ventas_equipo,ventas,Ventas por equipo,"Lo que vendió cada equipo comercial, por vendedor y línea de producto. Solo cuenta el canal gestionado por un vendedor: e-commerce y marketplace no son de ningún equipo.","Suma del importe neto por fecha, equipo, vendedor y categoría, únicamente de pedidos con vendedor asignado.",MXN,warehouse,fct_pedido|dim_vendedor,rpt_ventas_diarias,01,"No es el ingreso total de la empresa: deja fuera el autoservicio y las sucursales. Para ese total, ver «Ingresos mensuales» en el Scorecard."
meta_ventas,ventas,Meta mensual de ventas por equipo,"El objetivo de venta mensual vigente de cada equipo comercial. Es un dato de planeación que alguien fija, no un cálculo.",Se toma tal cual del CRM (una meta vigente por equipo).,MXN,plan,fct_meta_venta,rpt_metas_mensuales,01,
cumplimiento_ventas,ventas,Cumplimiento de meta de ventas,Qué porcentaje de su meta mensual lleva cada equipo en el mes más reciente.,"Ventas del mes del equipo ÷ meta mensual del equipo × 100. Semáforo del dashboard: verde desde 95%, ámbar desde 80%, rojo por debajo.",%,dashboard,fct_pedido|fct_meta_venta,rpt_ventas_diarias|rpt_metas_mensuales,01,Los semáforos no coinciden entre dashboards: aquí el verde empieza en 95%; en el Scorecard (03) empieza en 100% y el ámbar en 90%.
