sku,nombre_producto,categoria,precio_unitario,costo_unitario,unidad_medida,activo,campo_obsoleto_bodega_2019
SKU-00136,Set de plumas Plus,Papelería,249.61,147.62,pieza,True,
SKU-00027,Vestido casual,Ropa,646.92,390.48,pieza,False,
SKU-00076,Pasta integral Pro,alimentos,53.51,33.57,kg,False,
SKU-00050,Tapete decorativo Pro,Hogar,504.49,332.0,pieza,True,
SKU-00087,Peluche grande Plus,Juguetes,1239.46,640.72,pieza,False,
SKU-00022,Pantalón deportivo Mini,Ropa,636.66,316.92,pieza,True,
SKU-00094,Dron mini Classic,Juguetes,,198.13,pieza,False,
SKU-00049,Organizador plástico (recapturado),Hogar,1340.67,1042.8,pieza,True,
SKU-00039,Set de ollas Plus,Hogar,1479.33,966.12,pieza,True,
SKU-00125,Protector solar,BELLEZA,,287.87,pieza,True,
SKU-00115,Shampoo reparador Classic,Belleza,119.63,59.08,pieza,True,
SKU-00083,Peluche grande Mini,Juguetes,182.45,115.5,pieza,True,
SKU-00032,Sudadera con capucha,Ropa,783.73,506.07,pieza,True,
SKU-00086,Pista de autos,Juguetes,1367.14,782.83,pieza,True,
SKU-00008,Audífonos inalámbricos Plus,Electrónica,"$1,877.92",1140.28,pieza,True,
SKU-00059,Café molido 500g,,416.39,213.0,kg,True,
SKU-00065,Snack proteico,Alimentos,205.52,137.87,pieza,True,
SKU-00031,Shorts deportivos Mini,Ropa,399.12,225.12,pieza,True,
SKU-00081,Dron mini Classic,Juguetes,493.48,234.98,pieza,True,
SKU-00101,Balón de fútbol Mini,Deportes,852.8,441.33,pieza,True,
SKU-00066,Aceite de oliva 1L Classic,Alimentos,439.55,290.8,pieza,False,
SKU-00082,Juego de mesa familiar,Juguetes,973.57,578.32,pieza,True,
SKU-00120,Protector solar Pro,Belleza,$684.94,410.38,pieza,False,
SKU-00070,Aceite de oliva 1L,Alimentos,415.72,263.23,kg,False,
SKU-00143,Cuaderno profesional, Papelería ,$43.00,22.09,pieza,True,
SKU-00041,Organizador plástico Mini,Hogar,1624.65,1023.29,pieza,True,
SKU-00126,Kit de manicure Plus,Belleza,486.72,236.38,pieza,True,
SKU-00035,Pantalón deportivo,Ropa,760.95,407.47,pieza,True,
SKU-00078,Rompecabezas 500 piezas,Juguetes,880.5,596.05,pieza,True,
SKU-00079,Dron mini Plus,JUGUETES,"$1,354.98",943.68,pieza,True,
SKU-00007,Teclado mecánico Mini,electrónica,1285.47,684.63,pieza,True,
SKU-00098,Bicicleta rodante,Deportes,1310.38,835.95,pieza,False,
SKU-00134,Calculadora científica,Papelería,217.36,147.26,pieza,False,
SKU-00102,Banda de resistencia Plus,Deportes,-1509.5,713.57,pieza,True,
SKU-00073,Pasta integral Classic,Alimentos,54.8,29.56,pieza,True,
SKU-00053, Cortina blackout Mini ,Hogar,,320.57,pieza,True,
SKU-00021, Vestido casual Classic , Ropa ,$186.54,86.85,pieza,True,
SKU-00042,Tapete decorativo,Hogar,1618.99,1065.14,pieza,True,
SKU-00029,Pantalón deportivo Plus,Ropa,502.04,309.87,pieza,True,
SKU-00043,Cortina blackout,Hogar,$737.95,392.01,pieza,True,
SKU-00129,Mascarilla facial Classic,Belleza,297.22,187.52,pieza,True,
SKU-00131,Crema hidratante,Belleza,103.76,71.66,pieza,True,
