sku,nombre_producto,categoria,subcategoria,precio_unitario,costo_unitario,unidad_medida,activo,campo_obsoleto_bodega_2019
SKU-00136,Set de plumas Plus,Papelería,Escritura,249.61,147.62,pieza,True,
SKU-00027,Vestido casual,Ropa,Ropa casual,646.92,390.48,pieza,False,
SKU-00076,Pasta integral Pro,alimentos,Despensa,53.51,33.57,kg,False,
SKU-00050,Tapete decorativo Pro,Hogar,Textil de hogar,504.49,332.0,pieza,True,
SKU-00087,Peluche grande Plus,Juguetes,Peluches,1239.46,640.72,pieza,False,
SKU-00022,Pantalón deportivo Mini,Ropa,Ropa casual,636.66,316.92,pieza,True,
SKU-00094,Dron mini Classic,Juguetes,Juguetes electrónicos,,198.13,pieza,False,
SKU-00049,Organizador plástico (recapturado),Hogar,Iluminación y organización,1340.67,1042.8,pieza,True,
SKU-00039,Set de ollas Plus,Hogar,Cocina,1479.33,966.12,pieza,True,
SKU-00125,Protector solar,BELLEZA,Cuidado de la piel,,287.87,pieza,True,
SKU-00115,Shampoo reparador Classic,Belleza,Cuidado del cabello,119.63,59.08,pieza,True,
SKU-00083,Peluche grande Mini,Juguetes,Peluches,182.45,115.5,pieza,True,
SKU-00032,Sudadera con capucha,Ropa,Prendas de abrigo,783.73,506.07,pieza,True,
SKU-00086,Pista de autos,Juguetes,Construcción y ciencia,1367.14,782.83,pieza,True,
SKU-00008,Audífonos inalámbricos Plus,Electrónica,Audio,"$1,877.92",1140.28,pieza,True,
SKU-00059,Café molido 500g,,Bebidas,416.39,213.0,kg,True,
SKU-00065,Snack proteico,Alimentos,Botanas,205.52,137.87,pieza,True,
SKU-00031,Shorts deportivos Mini,Ropa,Ropa casual,399.12,225.12,pieza,True,
SKU-00081,Dron mini Classic,Juguetes,Juguetes electrónicos,493.48,234.98,pieza,True,
SKU-00101,Balón de fútbol Mini,Deportes,Deportes de equipo,852.8,441.33,pieza,True,
SKU-00066,Aceite de oliva 1L Classic,Alimentos,Despensa,439.55,290.8,pieza,False,
SKU-00082,Juego de mesa familiar,Juguetes,Juegos de mesa,973.57,578.32,pieza,True,
SKU-00120,Protector solar Pro,Belleza,Cuidado de la piel,$684.94,410.38,pieza,False,
SKU-00070,Aceite de oliva 1L,Alimentos,Despensa,415.72,263.23,kg,False,
SKU-00143,Cuaderno profesional, Papelería ,Cuadernos y agendas,$43.00,22.09,pieza,True,
SKU-00041,Organizador plástico Mini,Hogar,Iluminación y organización,1624.65,1023.29,pieza,True,
SKU-00126,Kit de manicure Plus,Belleza,Maquillaje y uñas,486.72,236.38,pieza,True,
SKU-00035,Pantalón deportivo,Ropa,Ropa casual,760.95,407.47,pieza,True,
SKU-00078,Rompecabezas 500 piezas,Juguetes,Juegos de mesa,880.5,596.05,pieza,True,
SKU-00079,Dron mini Plus,JUGUETES,Juguetes electrónicos,"$1,354.98",943.68,pieza,True,
SKU-00007,Teclado mecánico Mini,electrónica,Cómputo,1285.47,684.63,pieza,True,
SKU-00098,Bicicleta rodante,Deportes,Ciclismo,1310.38,835.95,pieza,False,
SKU-00134,Calculadora científica,Papelería,Oficina,217.36,147.26,pieza,False,
SKU-00102,Banda de resistencia Plus,Deportes,Fitness,-1509.5,713.57,pieza,True,
SKU-00073,Pasta integral Classic,Alimentos,Despensa,54.8,29.56,pieza,True,
SKU-00053, Cortina blackout Mini ,Hogar,Textil de hogar,,320.57,pieza,True,
SKU-00021, Vestido casual Classic , Ropa ,Ropa casual,$186.54,86.85,pieza,True,
SKU-00042,Tapete decorativo,Hogar,Textil de hogar,1618.99,1065.14,pieza,True,
SKU-00029,Pantalón deportivo Plus,Ropa,Ropa casual,502.04,309.87,pieza,True,
SKU-00043,Cortina blackout,Hogar,Textil de hogar,$737.95,392.01,pieza,True,
SKU-00129,Mascarilla facial Classic,Belleza,Cuidado de la piel,297.22,187.52,pieza,True,
SKU-00131,Crema hidratante,Belleza,Cuidado de la piel,103.76,71.66,pieza,True,
SKU-00055,Juego de toallas Classic,Hogar,Textil de hogar,558.43,301.25,pieza,False,
SKU-00069,Cereal integral Pro,Alimentos,Despensa,365.69,239.25,kg,False,
SKU-00118,Shampoo reparador Mini,Belleza,Cuidado del cabello,273.18,153.04,pieza,True,
SKU-00124,Kit de manicure Classic,Belleza,Maquillaje y uñas,799.93,473.8,pieza,False,
SKU-00005,Audífonos inalámbricos,Electrónica,Audio,393.08,253.22,pieza,False,
SKU-00100,Botella deportiva Classic,Deportes,Accesorios deportivos,2098.52,1225.66,pieza,True,
SKU-00151,Set de plumas Mini,Papelería,Escritura,537.13,259.29,pieza,True,
SKU-00108,Balón de fútbol,Deportes,Deportes de equipo,302.5,178.78,pieza,True,
SKU-00092,Set de bloques Plus,Juguetes,Construcción y ciencia,-144.31,83.4,pieza,True,
SKU-00024,Vestido casual Plus,Ropa,Ropa casual,$919.09,587.77,pieza,False,
SKU-00036,Camisa formal Pro,Ropa,Ropa casual,817.45,516.63,pieza,True,
SKU-00017,Mouse inalámbrico Pro,Electrónica,Cómputo,825.2,569.45,pieza,False,
SKU-00001,Smartwatch deportivo Pro,Electrónica,Wearables,1846.7,1181.59,pieza,False,
SKU-00009,Mouse inalámbrico,Electrónica,Cómputo,1245.05,717.39,pieza,False,
SKU-00026,Sudadera con capucha Pro,ropa,Prendas de abrigo,1135.1,670.92,pieza,False,
SKU-00148,Grapadora,Papelería,Oficina,-549.24,253.05,pieza,True,
SKU-00011,Cable HDMI 2m,Electrónica,Accesorios electrónicos,524.93,276.19,pieza,True,
SKU-00071,Café molido 500g Classic,Alimentos,Bebidas,70.09,46.75,kg,False,
SKU-00034,Vestido casual Classic,Ropa,Ropa casual,,586.23,pieza,True,
SKU-00141,Agenda 2025 Plus,Papelería,Cuadernos y agendas,,356.55,pieza,True,
SKU-00110,Balón de fútbol Mini (recapturado),Deportes,Deportes de equipo,2723.66,1506.4,pieza,True,
SKU-00028,Pantalón deportivo Plus,Ropa,Ropa casual,$582.80,297.74,pieza,False,
SKU-00103,Tapete de yoga,Deportes,Fitness,2346.24,1329.84,pieza,True,
SKU-00019,Mouse inalámbrico,Electrónica,Cómputo,2357.62,1099.31,pieza,True,
SKU-00013,Audífonos inalámbricos Mini,Electrónica,Audio,2499.59,1437.67,pieza,True,
SKU-00112,Balón de fútbol Mini,Deportes,Deportes de equipo,188.69,128.41,pieza,False,
SKU-00095,Kit de ciencia Classic,Juguetes,Construcción y ciencia,375.14,207.76,pieza,False,
SKU-00114,Cuerda para saltar Mini,deportes,Fitness,1955.86,1348.24,pieza,False,
SKU-00056,Lámpara de mesa,Hogar,Iluminación y organización,776.65,411.74,pieza,False,
SKU-00067,Té orgánico caja,Alimentos,Bebidas,$202.28,103.32,pieza,True,
SKU-00111,Botella deportiva,Deportes,Accesorios deportivos,-1997.55,1164.17,pieza,True,
SKU-00122,Set de brochas Mini,Belleza,Maquillaje y uñas,214.59,98.18,pieza,True,
SKU-00020, Chaleco acolchado ,Ropa,Prendas de abrigo,$854.55,503.63,pieza,False,
SKU-00145,Calculadora científica,PAPELERÍA,Oficina,$436.73,252.98,pieza,True,
SKU-00057,Tapete decorativo Pro,Hogar,Textil de hogar,1213.88,748.87,pieza,True,
SKU-00127,Set de brochas Pro, Belleza ,Maquillaje y uñas,706.58,493.78,pieza,True,
SKU-00033,Playera de algodón,Ropa,Ropa casual,1173.72,720.78,pieza,True,
SKU-00080,Peluche grande,Juguetes,Peluches,866.49,442.37,pieza,True,
SKU-00060,Té orgánico caja Mini,Alimentos,Bebidas,424.07,261.78,kg,True,
SKU-00020, Chaleco acolchado  (recapturado),Ropa,Prendas de abrigo,908.24,503.63,pieza,False,
SKU-00010,Mouse inalámbrico,Electrónica,Cómputo,695.62,321.63,pieza,True,
SKU-00025,Vestido casual,Ropa,Ropa casual,,405.06,pieza,True,
SKU-00146,Agenda 2025 Classic,Papelería,Cuadernos y agendas,$374.28,235.0,pieza,True,
